tamanho|algoritmo|tempo(s)
300000|Bubble Sort|336.032177
300000|Insertion Sort|44.710741
300000|Quick Sort|0.036845
300000|Heap Sort|0.047815
600000|Bubble Sort|1330.960427
600000|Insertion Sort|179.457353
600000|Quick Sort|0.077210
600000|Heap Sort|0.120379
900000|Bubble Sort|3031.100790
900000|Insertion Sort|410.281010
900000|Quick Sort|0.114849
900000|Heap Sort|0.228723
1200000|Bubble Sort|5400.623215
1200000|Insertion Sort|717.867189
1200000|Quick Sort|0.160784
1200000|Heap Sort|0.314518
1500000|Bubble Sort|8371.744289
